,geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size,geo_type,data_source
33,nv,smoothed_hh_cmnty_cli,2020-09-25,,2020-10-05,10,17.3231753,0.8737346,1876.0837,state,fb-survey
34,ny,smoothed_hh_cmnty_cli,2020-09-25,,2020-10-05,10,11.1961535,0.288399,11954.0004,state,fb-survey
35,oh,smoothed_hh_cmnty_cli,2020-09-25,,2020-10-05,10,18.2714627,0.3886539,9886.007,state,fb-survey
36,ok,smoothed_hh_cmnty_cli,2020-09-25,,2020-10-05,10,28.822579,0.7405263,3741.0548,state,fb-survey
37,or,smoothed_hh_cmnty_cli,2020-09-25,,2020-10-05,10,12.9978593,0.5289323,4042.0496,state,fb-survey
38,pa,smoothed_hh_cmnty_cli,2020-09-25,,2020-10-05,10,14.3577535,0.3255944,11599.0069,state,fb-survey
39,ri,smoothed_hh_cmnty_cli,2020-09-25,,2020-10-05,10,10.0395552,0.9456366,1009.991,state,fb-survey
40,sc,smoothed_hh_cmnty_cli,2020-09-25,,2020-10-05,10,21.3991238,0.5887774,4852.0029,state,fb-survey
41,sd,smoothed_hh_cmnty_cli,2020-09-25,,2020-10-05,10,38.6906156,1.5594496,975.4161,state,fb-survey
42,tn,smoothed_hh_cmnty_cli,2020-09-25,,2020-10-05,10,24.4772022,0.5949655,5222.2334,state,fb-survey
43,tx,smoothed_hh_cmnty_cli,2020-09-25,,2020-10-05,10,20.5429735,0.3101769,16965.8909,state,fb-survey
44,ut,smoothed_hh_cmnty_cli,2020-09-25,,2020-10-05,10,29.9681304,0.8545167,2874.1817,state,fb-survey
45,va,smoothed_hh_cmnty_cli,2020-09-25,,2020-10-05,10,16.6142263,0.4392326,7180.9661,state,fb-survey
46,vt,smoothed_hh_cmnty_cli,2020-09-25,,2020-10-05,10,13.0036609,1.1759975,818.0009,state,fb-survey
47,wa,smoothed_hh_cmnty_cli,2020-09-25,,2020-10-05,10,14.0406938,0.4251913,6675.9457,state,fb-survey
48,wi,smoothed_hh_cmnty_cli,2020-09-25,,2020-10-05,10,27.337431,0.5832642,5838.9906,state,fb-survey
49,wv,smoothed_hh_cmnty_cli,2020-09-25,,2020-10-05,10,22.6925659,0.9085463,2125.2536,state,fb-survey
50,wy,smoothed_hh_cmnty_cli,2020-09-25,,2020-10-05,10,23.6831484,1.6821799,638.7266,state,fb-survey
0,ak,smoothed_hh_cmnty_cli,2020-09-26,,2020-10-05,9,20.8058124,1.4763118,756.0,state,fb-survey
1,al,smoothed_hh_cmnty_cli,2020-09-26,,2020-10-05,9,25.9597155,0.7448848,3464.0946,state,fb-survey
2,ar,smoothed_hh_cmnty_cli,2020-09-26,,2020-10-05,9,28.6589942,0.8933084,2562.1074,state,fb-survey
3,az,smoothed_hh_cmnty_cli,2020-09-26,,2020-10-05,9,15.2599067,0.4882238,5425.0404,state,fb-survey
4,ca,smoothed_hh_cmnty_cli,2020-09-26,,2020-10-05,9,13.3918305,0.2379864,20478.3258,state,fb-survey
5,co,smoothed_hh_cmnty_cli,2020-09-26,,2020-10-05,9,17.4438516,0.5432323,4880.0092,state,fb-survey
6,ct,smoothed_hh_cmnty_cli,2020-09-26,,2020-10-05,9,11.7974477,0.5316095,3682.0,state,fb-survey
7,dc,smoothed_hh_cmnty_cli,2020-09-26,,2020-10-05,9,9.9198397,1.3395293,498.0,state,fb-survey
8,de,smoothed_hh_cmnty_cli,2020-09-26,,2020-10-05,9,11.7839568,0.9884326,1064.0073,state,fb-survey
9,fl,smoothed_hh_cmnty_cli,2020-09-26,,2020-10-05,9,18.2778525,0.3060216,15949.9986,state,fb-survey
10,ga,smoothed_hh_cmnty_cli,2020-09-26,,2020-10-05,9,23.0434851,0.5388714,6106.9346,state,fb-survey
11,hi,smoothed_hh_cmnty_cli,2020-09-26,,2020-10-05,9,13.8781431,1.075653,1033.0,state,fb-survey
12,ia,smoothed_hh_cmnty_cli,2020-09-26,,2020-10-05,9,29.9710575,0.7692879,3546.5148,state,fb-survey
13,id,smoothed_hh_cmnty_cli,2020-09-26,,2020-10-05,9,25.9832958,1.0072515,1895.6062,state,fb-survey
