,geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size,geo_type,data_source
29,ne,smoothed_wearing_mask,2020-09-25,,2020-10-05,10,79.8908564,0.9701926,1706.7689,state,fb-survey
30,nh,smoothed_wearing_mask,2020-09-25,,2020-10-05,10,88.2223618,0.808134,1591.0,state,fb-survey
31,nj,smoothed_wearing_mask,2020-09-25,,2020-10-05,10,90.774529,0.3949019,5369.9984,state,fb-survey
32,nm,smoothed_wearing_mask,2020-09-25,,2020-10-05,10,88.3449658,0.7938837,1633.7348,state,fb-survey
33,nv,smoothed_wearing_mask,2020-09-25,,2020-10-05,10,87.5855147,0.7826466,1775.1276,state,fb-survey
34,ny,smoothed_wearing_mask,2020-09-25,,2020-10-05,10,92.3114241,0.2502413,11334.0003,state,fb-survey
35,oh,smoothed_wearing_mask,2020-09-25,,2020-10-05,10,85.5622264,0.3672544,9159.0058,state,fb-survey
36,ok,smoothed_wearing_mask,2020-09-25,,2020-10-05,10,76.9710411,0.716893,3448.9979,state,fb-survey
37,or,smoothed_wearing_mask,2020-09-25,,2020-10-05,10,88.7423318,0.5160069,3752.0463,state,fb-survey
38,pa,smoothed_wearing_mask,2020-09-25,,2020-10-05,10,87.3531041,0.318491,10891.0063,state,fb-survey
39,ri,smoothed_wearing_mask,2020-09-25,,2020-10-05,10,93.8085236,0.7778302,959.9905,state,fb-survey
40,sc,smoothed_wearing_mask,2020-09-25,,2020-10-05,10,83.7566277,0.5482041,4527.0031,state,fb-survey
41,sd,smoothed_wearing_mask,2020-09-25,,2020-10-05,10,66.4537749,1.5708995,903.3718,state,fb-survey
42,tn,smoothed_wearing_mask,2020-09-25,,2020-10-05,10,79.7970112,0.5777975,4828.9309,state,fb-survey
43,tx,smoothed_wearing_mask,2020-09-25,,2020-10-05,10,87.078556,0.2657693,15929.8905,state,fb-survey
44,ut,smoothed_wearing_mask,2020-09-25,,2020-10-05,10,83.2046526,0.7155699,2729.1817,state,fb-survey
45,va,smoothed_wearing_mask,2020-09-25,,2020-10-05,10,89.3202326,0.3750902,6780.1627,state,fb-survey
46,vt,smoothed_wearing_mask,2020-09-25,,2020-10-05,10,91.3572304,1.0061214,780.0008,state,fb-survey
47,wa,smoothed_wearing_mask,2020-09-25,,2020-10-05,10,89.8214956,0.3817956,6271.9491,state,fb-survey
48,wi,smoothed_wearing_mask,2020-09-25,,2020-10-05,10,83.2784985,0.5043733,5473.9898,state,fb-survey
49,wv,smoothed_wearing_mask,2020-09-25,,2020-10-05,10,84.0452264,0.8249853,1970.2044,state,fb-survey
50,wy,smoothed_wearing_mask,2020-09-25,,2020-10-05,10,56.1463254,2.0416112,590.7194,state,fb-survey
0,ak,smoothed_wearing_mask,2020-09-26,,2020-10-05,9,79.4036061,1.5071256,720.0,state,fb-survey
1,al,smoothed_wearing_mask,2020-09-26,,2020-10-05,9,83.5271842,0.658086,3177.096,state,fb-survey
2,ar,smoothed_wearing_mask,2020-09-26,,2020-10-05,9,83.9458944,0.7583841,2343.1879,state,fb-survey
3,az,smoothed_wearing_mask,2020-09-26,,2020-10-05,9,85.9759183,0.4882357,5058.1548,state,fb-survey
4,ca,smoothed_wearing_mask,2020-09-26,,2020-10-05,9,90.7237745,0.2083469,19387.3386,state,fb-survey
5,co,smoothed_wearing_mask,2020-09-26,,2020-10-05,9,86.7798969,0.4980997,4624.0388,state,fb-survey
6,ct,smoothed_wearing_mask,2020-09-26,,2020-10-05,9,93.3187773,0.4261008,3434.0,state,fb-survey
7,dc,smoothed_wearing_mask,2020-09-26,,2020-10-05,9,98.1601732,0.625901,461.0,state,fb-survey
8,de,smoothed_wearing_mask,2020-09-26,,2020-10-05,9,91.9697562,0.864146,989.0073,state,fb-survey
9,fl,smoothed_wearing_mask,2020-09-26,,2020-10-05,9,85.2917662,0.2892511,14993.9989,state,fb-survey
10,ga,smoothed_wearing_mask,2020-09-26,,2020-10-05,9,81.7903322,0.5115761,5690.9336,state,fb-survey
11,hi,smoothed_wearing_mask,2020-09-26,,2020-10-05,9,93.0840164,0.8125727,975.0,state,fb-survey
12,ia,smoothed_wearing_mask,2020-09-26,,2020-10-05,9,76.7750501,0.73434,3306.5912,state,fb-survey
13,id,smoothed_wearing_mask,2020-09-26,,2020-10-05,9,72.9940019,1.058442,1759.5974,state,fb-survey
14,il,smoothed_wearing_mask,2020-09-26,,2020-10-05,9,87.6306977,0.341838,9276.001,state,fb-survey
15,in,smoothed_wearing_mask,2020-09-26,,2020-10-05,9,82.3796692,0.5297704,5172.0022,state,fb-survey
16,ks,smoothed_wearing_mask,2020-09-26,,2020-10-05,9,82.4433571,0.7405877,2639.0292,state,fb-survey
17,ky,smoothed_wearing_mask,2020-09-26,,2020-10-05,9,86.0017523,0.6026224,3315.0529,state,fb-survey
18,la,smoothed_wearing_mask,2020-09-26,,2020-10-05,9,81.8588676,0.6841845,3172.3686,state,fb-survey
19,ma,smoothed_wearing_mask,2020-09-26,,2020-10-05,9,93.1171096,0.37046,4670.01,state,fb-survey
20,md,smoothed_wearing_mask,2020-09-26,,2020-10-05,9,93.2210175,0.4160958,3649.9904,state,fb-survey
21,me,smoothed_wearing_mask,2020-09-26,,2020-10-05,9,87.9310345,0.7877856,1710.0,state,fb-survey
22,mi,smoothed_wearing_mask,2020-09-26,,2020-10-05,9,85.8088291,0.3679578,8994.0266,state,fb-survey
23,mn,smoothed_wearing_mask,2020-09-26,,2020-10-05,9,87.6173168,0.5055198,4245.4948,state,fb-survey
24,mo,smoothed_wearing_mask,2020-09-26,,2020-10-05,9,80.3979104,0.5828145,4639.6634,state,fb-survey
25,ms,smoothed_wearing_mask,2020-09-26,,2020-10-05,9,83.7033726,0.8236132,2010.9169,state,fb-survey
26,mt,smoothed_wearing_mask,2020-09-26,,2020-10-05,9,75.2409569,1.186528,1323.2204,state,fb-survey
27,nc,smoothed_wearing_mask,2020-09-26,,2020-10-05,9,85.8189133,0.4007984,7576.0089,state,fb-survey
28,nd,smoothed_wearing_mask,2020-09-26,,2020-10-05,9,67.321359,1.6930889,767.4628,state,fb-survey
